Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
hogar-decoracion-florero-puro-11,Florero Puro Atelier N11,<p>Exquisito florero elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-111,450,shopify,50,deny,manual,67.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Florero Puro Atelier N11,FALSE,Florero Puro Atelier N11,Comprar Florero Puro Atelier N11 en Atelier Minimal Store.,active
hogar-decoracion-escultura-eco-12,Escultura Eco Atelier N12,<p>Exquisito escultura elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-112,450,shopify,50,deny,manual,72.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Escultura Eco Atelier N12,FALSE,Escultura Eco Atelier N12,Comprar Escultura Eco Atelier N12 en Atelier Minimal Store.,active
hogar-decoracion-cuenco-decorativo-mate-13,Cuenco Decorativo Mate Atelier N13,<p>Exquisito cuenco decorativo elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-113,450,shopify,50,deny,manual,76.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Cuenco Decorativo Mate Atelier N13,FALSE,Cuenco Decorativo Mate Atelier N13,Comprar Cuenco Decorativo Mate Atelier N13 en Atelier Minimal Store.,active
hogar-decoracion-bandeja-artesanal-14,Bandeja Artesanal Atelier N14,<p>Exquisito bandeja elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-114,450,shopify,50,deny,manual,81.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Bandeja Artesanal Atelier N14,FALSE,Bandeja Artesanal Atelier N14,Comprar Bandeja Artesanal Atelier N14 en Atelier Minimal Store.,active
hogar-decoracion-jarron-organico-15,Jarron Organico Atelier N15,<p>Exquisito jarron elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-115,450,shopify,50,deny,manual,85.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Jarron Organico Atelier N15,FALSE,Jarron Organico Atelier N15,Comprar Jarron Organico Atelier N15 en Atelier Minimal Store.,active
hogar-decoracion-florero-botanico-16,Florero Botanico Atelier N16,<p>Exquisito florero elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-116,450,shopify,50,deny,manual,90.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Florero Botanico Atelier N16,FALSE,Florero Botanico Atelier N16,Comprar Florero Botanico Atelier N16 en Atelier Minimal Store.,active
hogar-decoracion-escultura-atelier-17,Escultura Atelier Atelier N17,<p>Exquisito escultura elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-117,450,shopify,50,deny,manual,94.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Escultura Atelier Atelier N17,FALSE,Escultura Atelier Atelier N17,Comprar Escultura Atelier Atelier N17 en Atelier Minimal Store.,active
hogar-decoracion-cuenco-decorativo-pastel-18,Cuenco Decorativo Pastel Atelier N18,<p>Exquisito cuenco decorativo elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-118,450,shopify,50,deny,manual,99.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Cuenco Decorativo Pastel Atelier N18,FALSE,Cuenco Decorativo Pastel Atelier N18,Comprar Cuenco Decorativo Pastel Atelier N18 en Atelier Minimal Store.,active
hogar-decoracion-bandeja-puro-19,Bandeja Puro Atelier N19,<p>Exquisito bandeja elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-119,450,shopify,50,deny,manual,103.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Bandeja Puro Atelier N19,FALSE,Bandeja Puro Atelier N19,Comprar Bandeja Puro Atelier N19 en Atelier Minimal Store.,active
hogar-decoracion-jarron-eco-20,Jarron Eco Atelier N20,<p>Exquisito jarron elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-120,450,shopify,50,deny,manual,108.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Jarron Eco Atelier N20,FALSE,Jarron Eco Atelier N20,Comprar Jarron Eco Atelier N20 en Atelier Minimal Store.,active
textiles-organicos-funda-de-cojin-puro-1,Funda de Cojin Puro Atelier N1,<p>Exquisito funda de cojin elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-121,450,shopify,50,deny,manual,42.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Funda de Cojin Puro Atelier N1,FALSE,Funda de Cojin Puro Atelier N1,Comprar Funda de Cojin Puro Atelier N1 en Atelier Minimal Store.,active
textiles-organicos-sabana-eco-2,Sabana Eco Atelier N2,<p>Exquisito sabana elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-122,450,shopify,50,deny,manual,47.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Sabana Eco Atelier N2,FALSE,Sabana Eco Atelier N2,Comprar Sabana Eco Atelier N2 en Atelier Minimal Store.,active
textiles-organicos-edredon-mate-3,Edredon Mate Atelier N3,<p>Exquisito edredon elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-123,450,shopify,50,deny,manual,51.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Edredon Mate Atelier N3,FALSE,Edredon Mate Atelier N3,Comprar Edredon Mate Atelier N3 en Atelier Minimal Store.,active
textiles-organicos-camino-de-mesa-artesanal-4,Camino de Mesa Artesanal Atelier N4,<p>Exquisito camino de mesa elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-124,450,shopify,50,deny,manual,56.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Camino de Mesa Artesanal Atelier N4,FALSE,Camino de Mesa Artesanal Atelier N4,Comprar Camino de Mesa Artesanal Atelier N4 en Atelier Minimal Store.,active
textiles-organicos-manta-organico-5,Manta Organico Atelier N5,<p>Exquisito manta elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-125,450,shopify,50,deny,manual,35.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Manta Organico Atelier N5,FALSE,Manta Organico Atelier N5,Comprar Manta Organico Atelier N5 en Atelier Minimal Store.,active
textiles-organicos-funda-de-cojin-botanico-6,Funda de Cojin Botanico Atelier N6,<p>Exquisito funda de cojin elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-126,450,shopify,50,deny,manual,40.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Funda de Cojin Botanico Atelier N6,FALSE,Funda de Cojin Botanico Atelier N6,Comprar Funda de Cojin Botanico Atelier N6 en Atelier Minimal Store.,active
textiles-organicos-sabana-atelier-7,Sabana Atelier Atelier N7,<p>Exquisito sabana elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-127,450,shopify,50,deny,manual,44.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Sabana Atelier Atelier N7,FALSE,Sabana Atelier Atelier N7,Comprar Sabana Atelier Atelier N7 en Atelier Minimal Store.,active
textiles-organicos-edredon-pastel-8,Edredon Pastel Atelier N8,<p>Exquisito edredon elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-128,450,shopify,50,deny,manual,49.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Edredon Pastel Atelier N8,FALSE,Edredon Pastel Atelier N8,Comprar Edredon Pastel Atelier N8 en Atelier Minimal Store.,active
textiles-organicos-camino-de-mesa-puro-9,Camino de Mesa Puro Atelier N9,<p>Exquisito camino de mesa elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-129,450,shopify,50,deny,manual,53.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Camino de Mesa Puro Atelier N9,FALSE,Camino de Mesa Puro Atelier N9,Comprar Camino de Mesa Puro Atelier N9 en Atelier Minimal Store.,active
textiles-organicos-manta-eco-10,Manta Eco Atelier N10,<p>Exquisito manta elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-130,450,shopify,50,deny,manual,58.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Manta Eco Atelier N10,FALSE,Manta Eco Atelier N10,Comprar Manta Eco Atelier N10 en Atelier Minimal Store.,active
textiles-organicos-funda-de-cojin-mate-11,Funda de Cojin Mate Atelier N11,<p>Exquisito funda de cojin elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-131,450,shopify,50,deny,manual,62.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Funda de Cojin Mate Atelier N11,FALSE,Funda de Cojin Mate Atelier N11,Comprar Funda de Cojin Mate Atelier N11 en Atelier Minimal Store.,active
textiles-organicos-sabana-artesanal-12,Sabana Artesanal Atelier N12,<p>Exquisito sabana elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-132,450,shopify,50,deny,manual,67.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Sabana Artesanal Atelier N12,FALSE,Sabana Artesanal Atelier N12,Comprar Sabana Artesanal Atelier N12 en Atelier Minimal Store.,active
textiles-organicos-edredon-organico-13,Edredon Organico Atelier N13,<p>Exquisito edredon elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-133,450,shopify,50,deny,manual,71.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Edredon Organico Atelier N13,FALSE,Edredon Organico Atelier N13,Comprar Edredon Organico Atelier N13 en Atelier Minimal Store.,active
textiles-organicos-camino-de-mesa-botanico-14,Camino de Mesa Botanico Atelier N14,<p>Exquisito camino de mesa elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-134,450,shopify,50,deny,manual,76.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Camino de Mesa Botanico Atelier N14,FALSE,Camino de Mesa Botanico Atelier N14,Comprar Camino de Mesa Botanico Atelier N14 en Atelier Minimal Store.,active
textiles-organicos-manta-atelier-15,Manta Atelier Atelier N15,<p>Exquisito manta elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-135,450,shopify,50,deny,manual,80.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Manta Atelier Atelier N15,FALSE,Manta Atelier Atelier N15,Comprar Manta Atelier Atelier N15 en Atelier Minimal Store.,active
textiles-organicos-funda-de-cojin-pastel-16,Funda de Cojin Pastel Atelier N16,<p>Exquisito funda de cojin elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-136,450,shopify,50,deny,manual,85.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Funda de Cojin Pastel Atelier N16,FALSE,Funda de Cojin Pastel Atelier N16,Comprar Funda de Cojin Pastel Atelier N16 en Atelier Minimal Store.,active
textiles-organicos-sabana-puro-17,Sabana Puro Atelier N17,<p>Exquisito sabana elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-137,450,shopify,50,deny,manual,89.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Sabana Puro Atelier N17,FALSE,Sabana Puro Atelier N17,Comprar Sabana Puro Atelier N17 en Atelier Minimal Store.,active
textiles-organicos-edredon-eco-18,Edredon Eco Atelier N18,<p>Exquisito edredon elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-138,450,shopify,50,deny,manual,94.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Edredon Eco Atelier N18,FALSE,Edredon Eco Atelier N18,Comprar Edredon Eco Atelier N18 en Atelier Minimal Store.,active
textiles-organicos-camino-de-mesa-mate-19,Camino de Mesa Mate Atelier N19,<p>Exquisito camino de mesa elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-139,450,shopify,50,deny,manual,98.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Camino de Mesa Mate Atelier N19,FALSE,Camino de Mesa Mate Atelier N19,Comprar Camino de Mesa Mate Atelier N19 en Atelier Minimal Store.,active
textiles-organicos-manta-artesanal-20,Manta Artesanal Atelier N20,<p>Exquisito manta elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-TEX-140,450,shopify,50,deny,manual,103.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Manta Artesanal Atelier N20,FALSE,Manta Artesanal Atelier N20,Comprar Manta Artesanal Atelier N20 en Atelier Minimal Store.,active
cuidado-personal-crema-hidratante-mate-1,Crema Hidratante Mate Atelier N1,<p>Exquisito crema hidratante elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Cuidado Personal,"Cuidado Personal, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-CUI-141,450,shopify,50,deny,manual,37.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Crema Hidratante Mate Atelier N1,FALSE,Crema Hidratante Mate Atelier N1,Comprar Crema Hidratante Mate Atelier N1 en Atelier Minimal Store.,active
cuidado-personal-jabon-botanico-artesanal-2,Jabon Botanico Artesanal Atelier N2,<p>Exquisito jabon botanico elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Cuidado Personal,"Cuidado Personal, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-CUI-142,450,shopify,50,deny,manual,42.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Jabon Botanico Artesanal Atelier N2,FALSE,Jabon Botanico Artesanal Atelier N2,Comprar Jabon Botanico Artesanal Atelier N2 en Atelier Minimal Store.,active
cuidado-personal-aceite-corporal-organico-3,Aceite Corporal Organico Atelier N3,<p>Exquisito aceite corporal elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Cuidado Personal,"Cuidado Personal, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-CUI-143,450,shopify,50,deny,manual,46.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Aceite Corporal Organico Atelier N3,FALSE,Aceite Corporal Organico Atelier N3,Comprar Aceite Corporal Organico Atelier N3 en Atelier Minimal Store.,active
cuidado-personal-balsamo-labial-botanico-4,Balsamo Labial Botanico Atelier N4,<p>Exquisito balsamo labial elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Cuidado Personal,"Cuidado Personal, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-CUI-144,450,shopify,50,deny,manual,51.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Balsamo Labial Botanico Atelier N4,FALSE,Balsamo Labial Botanico Atelier N4,Comprar Balsamo Labial Botanico Atelier N4 en Atelier Minimal Store.,active
