Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Status
hogar-decoracion-florero-artesanal-6,Florero Artesanal Atelier N6,<p>Exquisito florero elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-106-V,450,shopify,50,deny,manual,45.0,,TRUE,TRUE,,FALSE,Florero Artesanal Atelier N6,Comprar Florero Artesanal Atelier N6 en Atelier Minimal Store.,active
hogar-decoracion-florero-artesanal-6,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-106-M,450,shopify,50,deny,manual,48.5,,TRUE,TRUE,,,,,
hogar-decoracion-escultura-organico-7,Escultura Organico Atelier N7,<p>Exquisito escultura elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-107-V,450,shopify,50,deny,manual,49.5,,TRUE,TRUE,,FALSE,Escultura Organico Atelier N7,Comprar Escultura Organico Atelier N7 en Atelier Minimal Store.,active
hogar-decoracion-escultura-organico-7,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-107-M,450,shopify,50,deny,manual,53.0,,TRUE,TRUE,,,,,
hogar-decoracion-cuenco-decorativo-botanico-8,Cuenco Decorativo Botanico Atelier N8,<p>Exquisito cuenco decorativo elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-108-V,450,shopify,50,deny,manual,54.0,,TRUE,TRUE,,FALSE,Cuenco Decorativo Botanico Atelier N8,Comprar Cuenco Decorativo Botanico Atelier N8 en Atelier Minimal Store.,active
hogar-decoracion-cuenco-decorativo-botanico-8,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-108-M,450,shopify,50,deny,manual,57.5,,TRUE,TRUE,,,,,
hogar-decoracion-bandeja-atelier-9,Bandeja Atelier Atelier N9,<p>Exquisito bandeja elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-109-V,450,shopify,50,deny,manual,58.5,,TRUE,TRUE,,FALSE,Bandeja Atelier Atelier N9,Comprar Bandeja Atelier Atelier N9 en Atelier Minimal Store.,active
hogar-decoracion-bandeja-atelier-9,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-109-M,450,shopify,50,deny,manual,62.0,,TRUE,TRUE,,,,,
hogar-decoracion-jarron-pastel-10,Jarron Pastel Atelier N10,<p>Exquisito jarron elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-110-V,450,shopify,50,deny,manual,63.0,,TRUE,TRUE,,FALSE,Jarron Pastel Atelier N10,Comprar Jarron Pastel Atelier N10 en Atelier Minimal Store.,active
hogar-decoracion-jarron-pastel-10,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-110-M,450,shopify,50,deny,manual,66.5,,TRUE,TRUE,,,,,
hogar-decoracion-florero-puro-11,Florero Puro Atelier N11,<p>Exquisito florero elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-111-V,450,shopify,50,deny,manual,67.5,,TRUE,TRUE,,FALSE,Florero Puro Atelier N11,Comprar Florero Puro Atelier N11 en Atelier Minimal Store.,active
hogar-decoracion-florero-puro-11,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-111-M,450,shopify,50,deny,manual,71.0,,TRUE,TRUE,,,,,
hogar-decoracion-escultura-eco-12,Escultura Eco Atelier N12,<p>Exquisito escultura elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-112-V,450,shopify,50,deny,manual,72.0,,TRUE,TRUE,,FALSE,Escultura Eco Atelier N12,Comprar Escultura Eco Atelier N12 en Atelier Minimal Store.,active
hogar-decoracion-escultura-eco-12,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-112-M,450,shopify,50,deny,manual,75.5,,TRUE,TRUE,,,,,
hogar-decoracion-cuenco-decorativo-mate-13,Cuenco Decorativo Mate Atelier N13,<p>Exquisito cuenco decorativo elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-113-V,450,shopify,50,deny,manual,76.5,,TRUE,TRUE,,FALSE,Cuenco Decorativo Mate Atelier N13,Comprar Cuenco Decorativo Mate Atelier N13 en Atelier Minimal Store.,active
hogar-decoracion-cuenco-decorativo-mate-13,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-113-M,450,shopify,50,deny,manual,80.0,,TRUE,TRUE,,,,,
hogar-decoracion-bandeja-artesanal-14,Bandeja Artesanal Atelier N14,<p>Exquisito bandeja elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-114-V,450,shopify,50,deny,manual,81.0,,TRUE,TRUE,,FALSE,Bandeja Artesanal Atelier N14,Comprar Bandeja Artesanal Atelier N14 en Atelier Minimal Store.,active
hogar-decoracion-bandeja-artesanal-14,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-114-M,450,shopify,50,deny,manual,84.5,,TRUE,TRUE,,,,,
hogar-decoracion-jarron-organico-15,Jarron Organico Atelier N15,<p>Exquisito jarron elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-115-V,450,shopify,50,deny,manual,85.5,,TRUE,TRUE,,FALSE,Jarron Organico Atelier N15,Comprar Jarron Organico Atelier N15 en Atelier Minimal Store.,active
hogar-decoracion-jarron-organico-15,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-115-M,450,shopify,50,deny,manual,89.0,,TRUE,TRUE,,,,,
hogar-decoracion-florero-botanico-16,Florero Botanico Atelier N16,<p>Exquisito florero elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-116-V,450,shopify,50,deny,manual,90.0,,TRUE,TRUE,,FALSE,Florero Botanico Atelier N16,Comprar Florero Botanico Atelier N16 en Atelier Minimal Store.,active
hogar-decoracion-florero-botanico-16,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-116-M,450,shopify,50,deny,manual,93.5,,TRUE,TRUE,,,,,
hogar-decoracion-escultura-atelier-17,Escultura Atelier Atelier N17,<p>Exquisito escultura elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-117-V,450,shopify,50,deny,manual,94.5,,TRUE,TRUE,,FALSE,Escultura Atelier Atelier N17,Comprar Escultura Atelier Atelier N17 en Atelier Minimal Store.,active
hogar-decoracion-escultura-atelier-17,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-117-M,450,shopify,50,deny,manual,98.0,,TRUE,TRUE,,,,,
hogar-decoracion-cuenco-decorativo-pastel-18,Cuenco Decorativo Pastel Atelier N18,<p>Exquisito cuenco decorativo elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-118-V,450,shopify,50,deny,manual,99.0,,TRUE,TRUE,,FALSE,Cuenco Decorativo Pastel Atelier N18,Comprar Cuenco Decorativo Pastel Atelier N18 en Atelier Minimal Store.,active
hogar-decoracion-cuenco-decorativo-pastel-18,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-118-M,450,shopify,50,deny,manual,102.5,,TRUE,TRUE,,,,,
hogar-decoracion-bandeja-puro-19,Bandeja Puro Atelier N19,<p>Exquisito bandeja elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-119-V,450,shopify,50,deny,manual,103.5,,TRUE,TRUE,,FALSE,Bandeja Puro Atelier N19,Comprar Bandeja Puro Atelier N19 en Atelier Minimal Store.,active
hogar-decoracion-bandeja-puro-19,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-119-M,450,shopify,50,deny,manual,107.0,,TRUE,TRUE,,,,,
hogar-decoracion-jarron-eco-20,Jarron Eco Atelier N20,<p>Exquisito jarron elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-120-V,450,shopify,50,deny,manual,108.0,,TRUE,TRUE,,FALSE,Jarron Eco Atelier N20,Comprar Jarron Eco Atelier N20 en Atelier Minimal Store.,active
hogar-decoracion-jarron-eco-20,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-120-M,450,shopify,50,deny,manual,111.5,,TRUE,TRUE,,,,,
textiles-organicos-funda-de-cojin-puro-1,Funda de Cojin Puro Atelier N1,<p>Exquisito funda de cojin elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-121-V,450,shopify,50,deny,manual,42.5,,TRUE,TRUE,,FALSE,Funda de Cojin Puro Atelier N1,Comprar Funda de Cojin Puro Atelier N1 en Atelier Minimal Store.,active
textiles-organicos-funda-de-cojin-puro-1,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-121-M,450,shopify,50,deny,manual,46.0,,TRUE,TRUE,,,,,
textiles-organicos-sabana-eco-2,Sabana Eco Atelier N2,<p>Exquisito sabana elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-122-V,450,shopify,50,deny,manual,47.0,,TRUE,TRUE,,FALSE,Sabana Eco Atelier N2,Comprar Sabana Eco Atelier N2 en Atelier Minimal Store.,active
textiles-organicos-sabana-eco-2,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-122-M,450,shopify,50,deny,manual,50.5,,TRUE,TRUE,,,,,
textiles-organicos-edredon-mate-3,Edredon Mate Atelier N3,<p>Exquisito edredon elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-123-V,450,shopify,50,deny,manual,51.5,,TRUE,TRUE,,FALSE,Edredon Mate Atelier N3,Comprar Edredon Mate Atelier N3 en Atelier Minimal Store.,active
textiles-organicos-edredon-mate-3,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-123-M,450,shopify,50,deny,manual,55.0,,TRUE,TRUE,,,,,
textiles-organicos-camino-de-mesa-artesanal-4,Camino de Mesa Artesanal Atelier N4,<p>Exquisito camino de mesa elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-124-V,450,shopify,50,deny,manual,56.0,,TRUE,TRUE,,FALSE,Camino de Mesa Artesanal Atelier N4,Comprar Camino de Mesa Artesanal Atelier N4 en Atelier Minimal Store.,active
textiles-organicos-camino-de-mesa-artesanal-4,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-124-M,450,shopify,50,deny,manual,59.5,,TRUE,TRUE,,,,,
textiles-organicos-manta-organico-5,Manta Organico Atelier N5,<p>Exquisito manta elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-125-V,450,shopify,50,deny,manual,35.5,,TRUE,TRUE,,FALSE,Manta Organico Atelier N5,Comprar Manta Organico Atelier N5 en Atelier Minimal Store.,active
textiles-organicos-manta-organico-5,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-125-M,450,shopify,50,deny,manual,39.0,,TRUE,TRUE,,,,,
textiles-organicos-funda-de-cojin-botanico-6,Funda de Cojin Botanico Atelier N6,<p>Exquisito funda de cojin elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-126-V,450,shopify,50,deny,manual,40.0,,TRUE,TRUE,,FALSE,Funda de Cojin Botanico Atelier N6,Comprar Funda de Cojin Botanico Atelier N6 en Atelier Minimal Store.,active
textiles-organicos-funda-de-cojin-botanico-6,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-126-M,450,shopify,50,deny,manual,43.5,,TRUE,TRUE,,,,,
textiles-organicos-sabana-atelier-7,Sabana Atelier Atelier N7,<p>Exquisito sabana elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-127-V,450,shopify,50,deny,manual,44.5,,TRUE,TRUE,,FALSE,Sabana Atelier Atelier N7,Comprar Sabana Atelier Atelier N7 en Atelier Minimal Store.,active
textiles-organicos-sabana-atelier-7,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-127-M,450,shopify,50,deny,manual,48.0,,TRUE,TRUE,,,,,
textiles-organicos-edredon-pastel-8,Edredon Pastel Atelier N8,<p>Exquisito edredon elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-128-V,450,shopify,50,deny,manual,49.0,,TRUE,TRUE,,FALSE,Edredon Pastel Atelier N8,Comprar Edredon Pastel Atelier N8 en Atelier Minimal Store.,active
textiles-organicos-edredon-pastel-8,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-128-M,450,shopify,50,deny,manual,52.5,,TRUE,TRUE,,,,,
textiles-organicos-camino-de-mesa-puro-9,Camino de Mesa Puro Atelier N9,<p>Exquisito camino de mesa elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-129-V,450,shopify,50,deny,manual,53.5,,TRUE,TRUE,,FALSE,Camino de Mesa Puro Atelier N9,Comprar Camino de Mesa Puro Atelier N9 en Atelier Minimal Store.,active
textiles-organicos-camino-de-mesa-puro-9,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-129-M,450,shopify,50,deny,manual,57.0,,TRUE,TRUE,,,,,
textiles-organicos-manta-eco-10,Manta Eco Atelier N10,<p>Exquisito manta elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-130-V,450,shopify,50,deny,manual,58.0,,TRUE,TRUE,,FALSE,Manta Eco Atelier N10,Comprar Manta Eco Atelier N10 en Atelier Minimal Store.,active
textiles-organicos-manta-eco-10,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-130-M,450,shopify,50,deny,manual,61.5,,TRUE,TRUE,,,,,
textiles-organicos-funda-de-cojin-mate-11,Funda de Cojin Mate Atelier N11,<p>Exquisito funda de cojin elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-131-V,450,shopify,50,deny,manual,62.5,,TRUE,TRUE,,FALSE,Funda de Cojin Mate Atelier N11,Comprar Funda de Cojin Mate Atelier N11 en Atelier Minimal Store.,active
textiles-organicos-funda-de-cojin-mate-11,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-131-M,450,shopify,50,deny,manual,66.0,,TRUE,TRUE,,,,,
textiles-organicos-sabana-artesanal-12,Sabana Artesanal Atelier N12,<p>Exquisito sabana elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-132-V,450,shopify,50,deny,manual,67.0,,TRUE,TRUE,,FALSE,Sabana Artesanal Atelier N12,Comprar Sabana Artesanal Atelier N12 en Atelier Minimal Store.,active
textiles-organicos-sabana-artesanal-12,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-132-M,450,shopify,50,deny,manual,70.5,,TRUE,TRUE,,,,,
textiles-organicos-edredon-organico-13,Edredon Organico Atelier N13,<p>Exquisito edredon elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-133-V,450,shopify,50,deny,manual,71.5,,TRUE,TRUE,,FALSE,Edredon Organico Atelier N13,Comprar Edredon Organico Atelier N13 en Atelier Minimal Store.,active
textiles-organicos-edredon-organico-13,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-133-M,450,shopify,50,deny,manual,75.0,,TRUE,TRUE,,,,,
textiles-organicos-camino-de-mesa-botanico-14,Camino de Mesa Botanico Atelier N14,<p>Exquisito camino de mesa elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-134-V,450,shopify,50,deny,manual,76.0,,TRUE,TRUE,,FALSE,Camino de Mesa Botanico Atelier N14,Comprar Camino de Mesa Botanico Atelier N14 en Atelier Minimal Store.,active
textiles-organicos-camino-de-mesa-botanico-14,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-134-M,450,shopify,50,deny,manual,79.5,,TRUE,TRUE,,,,,
textiles-organicos-manta-atelier-15,Manta Atelier Atelier N15,<p>Exquisito manta elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-135-V,450,shopify,50,deny,manual,80.5,,TRUE,TRUE,,FALSE,Manta Atelier Atelier N15,Comprar Manta Atelier Atelier N15 en Atelier Minimal Store.,active
textiles-organicos-manta-atelier-15,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-135-M,450,shopify,50,deny,manual,84.0,,TRUE,TRUE,,,,,
textiles-organicos-funda-de-cojin-pastel-16,Funda de Cojin Pastel Atelier N16,<p>Exquisito funda de cojin elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-136-V,450,shopify,50,deny,manual,85.0,,TRUE,TRUE,,FALSE,Funda de Cojin Pastel Atelier N16,Comprar Funda de Cojin Pastel Atelier N16 en Atelier Minimal Store.,active
textiles-organicos-funda-de-cojin-pastel-16,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-136-M,450,shopify,50,deny,manual,88.5,,TRUE,TRUE,,,,,
textiles-organicos-sabana-puro-17,Sabana Puro Atelier N17,<p>Exquisito sabana elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-137-V,450,shopify,50,deny,manual,89.5,,TRUE,TRUE,,FALSE,Sabana Puro Atelier N17,Comprar Sabana Puro Atelier N17 en Atelier Minimal Store.,active
textiles-organicos-sabana-puro-17,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-137-M,450,shopify,50,deny,manual,93.0,,TRUE,TRUE,,,,,
textiles-organicos-edredon-eco-18,Edredon Eco Atelier N18,<p>Exquisito edredon elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-138-V,450,shopify,50,deny,manual,94.0,,TRUE,TRUE,,FALSE,Edredon Eco Atelier N18,Comprar Edredon Eco Atelier N18 en Atelier Minimal Store.,active
textiles-organicos-edredon-eco-18,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-138-M,450,shopify,50,deny,manual,97.5,,TRUE,TRUE,,,,,
textiles-organicos-camino-de-mesa-mate-19,Camino de Mesa Mate Atelier N19,<p>Exquisito camino de mesa elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Textiles Organicos,"Textiles Organicos, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-TEX-139-V,450,shopify,50,deny,manual,98.5,,TRUE,TRUE,,FALSE,Camino de Mesa Mate Atelier N19,Comprar Camino de Mesa Mate Atelier N19 en Atelier Minimal Store.,active
textiles-organicos-camino-de-mesa-mate-19,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-TEX-139-M,450,shopify,50,deny,manual,102.0,,TRUE,TRUE,,,,,
